id,type,unit_id,title,release_date,now_available,coding,resources,files,overview,new_overview,doi,total_time
11,U,11,"Using Plotviz Software for Displaying Point Distributions in 3D",Available Now,True,,"","<ul><li><a href='/assets/files/unit_11/fungi_LSU_3(15)_to_3(26)_zeroidx.pviz' target='_blank'>fungi_LSU_3_15_to_3_26_zeroidx.pviz</a></li><li><a href='/assets/files/unit_11/DatingRating-OriginalLabels.pviz' target='_blank'>DatingRating-OriginalLabels.pviz</a></li><li><a href='/assets/files/unit_11/clusterFinal-M30-C28.pviz' target='_blank'>clusterFinal-M30-C28.pviz</a></li><li><a href='/assets/files/unit_11/clusterFinal-M3-C3Dating-ReClustered.pviz' target='_blank'>clusterFinal-M3-C3Dating-ReClustered.pviz</a></li></ul>","Geoffrey introduces Plotvize, a data visualization tool used in data science community. He gives several examples to show how the software can be used and what kind of data can be visualized. Finally, he mentions the download and software dependency of Plotvize.","<p>Geoffrey introduces Plotviz, a data visualization tool developed at Indiana University to display 2 and 3 dimensional data. The motivation is that the human eye is very good at pattern recognition and can ''see'' structure in data. Although most Big data is higher dimensional than 3, all can be transformed by dimension reduction techniques to 3D. He gives several examples to show how the software can be used and what kind of data can be visualized. This includes individual plots and the manipulation of multiple synchronized plots. Finally, he describes the download and software dependency of Plotviz.</p>","XIBD1_PlotViz_1v1","1h"
12,U,12,"e-Commerce and Life Style Informatics Case Study I: Recommender Systems: Introduction",Available Now,True,,"<ul><li><a href='http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial' target='_blank'>http://www.slideshare.net/xamat/building-largescale-realworld-recommender-systems-recsys2012-tutorial</a></li><li><a href='http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf' target='_blank'>http://www.ifi.uzh.ch/ce/teaching/spring2012/16-Recommender-Systems_Slides.pdf</a></li><li><a href='http://www.kaggle.com' target='_blank'>http://www.kaggle.com</a></li><li><a href='http://www.ics.uci.edu/~welling/teaching/CS77Bwinter12/CS77B_w12.html' target='_blank'>http://www.ics.uci.edu/~welling/teaching/CS77Bwinter12/CS77B_w12.html</a></li><li>Jeff Hammerbacher <a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120117berkeley1.pdf</a></li><li><a href='http://news.techworld.com/applications/3437514/netflix-foretells-house-of-cards-success-with-cassandra-big-data-engine/' target='_blank'>http://news.techworld.com/applications/3437514/netflix-foretells-house-of-cards-success-with-cassandra-big-data-engine/</a></li><li><a href='http://en.wikipedia.org/wiki/A/B_testing' target='_blank'>http://en.wikipedia.org/wiki/A/B_testing</a></li></ul>","","Recommender systems exist in a variety of applications and contexts online. They operate in the background of such widely recognized sites as Amazon, Monster and Netflix. Optimization of results is the key to success for recommender systems. This involves a symbiotic relationship between vendor and buyer whereby the buyer provides the vendor with information about their preferences, while the vendor then offers recommendations tailored to match their needs, to the benefit of both. There follows an exploration of the Kaggle competition site and Netflix, as well as competitions held to improve the success of the Netflix recommender system. Finally attention is paid to models that are used to compare how changes to the systems affect their overall performance.","<p>Geoffrey introduces Recommender systems as an optimization technology used in a variety of applications and contexts online. They operate in the background of such widely recognized sites as Amazon, eBay, Monster and Netflix where everything is a recommendation. This involves a symbiotic relationship between vendor and buyer whereby the buyer provides the vendor with information about their preferences, while the vendor then offers recommendations tailored to match their needs, to the benefit of both.</p><p>There follows an exploration of the Kaggle competition site, other recommender systems and Netflix, as well as competitions held to improve the success of the Netflix recommender system. Finally attention is paid to models that are used to compare how changes to the systems affect their overall performance. Geoffrey muses how the humble ranking has become such a dominant driver of the world's economy.</p>","XIBD1_eCom_1v1","48min"
13,U,13,"e-Commerce and Life Style Informatics Case Study II: Recommender Systems: Examples and Algorithms",Available Now,True,,"<ul><li><a href='http://isi2011.congressplanner.eu/pdfs/p_450457.pdf' target='_blank'>http://isi2011.congressplanner.eu/pdfs/p_450457.pdf</a></li><li><a href='http://pages.cs.wisc.edu/~beechung/icml11-tutorial/' target='_blank'>http://pages.cs.wisc.edu/~beechung/icml11-tutorial/</a></li></ul>","","Continuing the discussion of recommender systems, their role in the area of online commerce is explored. Advertising on websites is determined to an extent by predictions made on what the consumers will access or find interesting. An in-depth examination follows of how Yahoo! especially makes use of its recommender systems. Afterwards it is revealed how to perceive both users and their definable relationship to items as points in mathematical space. Then we go into detail on two basic principles behind recommender systems: collaborative filtering, which uses similarities in users to predict their habits, and the Pearson coefficient, used to statistically portray correlations between users who follow along the same lines of performance.","<p>Geoffrey continues the discussion of recommender systems and their use in e-commerce. More examples are given from Google News, Retail stores and in depth Yahoo! covering the multi-faceted criteria used in deciding recommendations on web sites. Then the formulation of recommendations in terms of points in a space or bag is given.</p><p>Here bags of item properties, user properties, rankings and users are useful. Then we go into detail on basic principles behind recommender systems: user-based collaborative filtering, which uses similarities in user rankings to predict their interests, and the Pearson correlation, used to statistically quantify correlations between users viewed as points in a space of items.</p>","XIBD1_eCom_2v1","1h 4min"
14,U,14,"e-Commerce and Life Style Informatics Case Study III: Item-based Collaborative Filtering and its Technologies",Available Now,True,,"","","","<p>Geoffrey moves on to item-based collaborative filtering where items are viewed as points in a space of users. The Cosine Similarity is introduced, the difference between implicit and explicit ratings and the k Nearest Neighbors algorithm. General features like the curse of dimensionality in high dimensions are discussed</p>","XIBD1_eCom_3v1","31min"
15,U,15,"e-Commerce and Life Style Informatics Case Study Technologies IV: k Nearest Neighbor Algorithm(Python Track)",Available Now,True,Python,"","<ul><li><a href="/assets/files/unit_15/kNNDriver.py" target="_blank">kNNDriver.py</a></li><li><a href="/assets/files/unit_15/kNN.py" target="_blank">kNN.py</a></li><li><a href="/assets/files/unit_15/datingTestSet2.txt" target="_blank">datingTestSet2.txt</a></li><li><a href="/assets/files/unit_15/clusterFinal-M3-C3Dating-ReClustered.pviz" target="_blank">clusterFinal-M3-C3Dating-ReClustered.pviz</a></li><li><a href="/assets/files/unit_15/DatingRating-OriginalLabels.pviz" target="_blank">DatingRating-OriginalLabels.pviz</a></li><li><a href="/assets/files/unit_15/clusterFinal-M30-C28.pviz" target="_blank">clusterFinal-M30-C28.pviz</a></li></ul>","","<p>Geoffrey discusses a simple Python k Nearest Neighbor code and its application to an artificial data set in 3 dimensions. Results are visualized in Matplotlib in 2D and with Plotviz in 3D. The concept of a training and a testing test are introduced with training set pre labelled.</p>","XIBD1_eCom_4v1","33min"
16,U,16,"e-Commerce and Life Style Informatics Case Study Technologies V: Clustering",Available Now,True,,"<ul><li><a href='http://en.wikipedia.org/wiki/Kmeans' target='_blank'>http://en.wikipedia.org/wiki/Kmeans</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf</a></li><li><a href='http://salsahpc.indiana.edu/millionseq/' target='_blank'>http://salsahpc.indiana.edu/millionseq/</a></li><li><a href='http://salsafungiphy.blogspot.com/' target='_blank'>http://salsafungiphy.blogspot.com/</a></li><li><a href='http://en.wikipedia.org/wiki/Heuristics' target='_blank'>http://en.wikipedia.org/wiki/Heuristics</a></li></ul>","","","<p>Geoffrey uses example of recommender system to discuss clustering. The details of methods are not discussed but k-means based clustering methods are used and their results examined in Plotviz. The original labelling is compared to clustering results and extension to 28 clusters given. General issues in clustering are discussed including local optima, the use of annealing to avoid this and value of heuristic algorithms.</p>","XIBD1_eCom_5v1","42min"
17,U,17,"Parallel Computing: Overview of Basic Principles with familiar Examples",Available Now,True,,"<ul><li><i>Solving Problems in Concurrent Processors-Volume 1</i>, with M. Johnson, G. Lyzenga, S. Otto, J. Salmon, D. Walker, Prentice Hall, March 1988</li><li><i>Parallel Computing Works!</i>, with P. Messina, R. Williams, Morgan Kaufman (1994). http://www.netlib.org/utk/lsi/pcwLSI/text/</li><li><i>The Sourcebook of Parallel Computing book</i> edited by Jack Dongarra, Ian Foster, Geoffrey Fox, William Gropp, Ken Kennedy, Linda Torczon, and Andy White, Morgan Kaufmann, November 2002</li><li>Geoffrey Fox Computational Sciences and Parallelism to appear in Enclyclopedia on Parallel Computing edited by David Padua and published by Springer. <a href='http://grids.ucs.indiana.edu/ptliupages/publications/SpringerEncyclopedia_Fox.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/SpringerEncyclopedia_Fox.pdf</a></li></ul>","","The essential of parallel computing is decomposition. Related to X-informatics, the application of parallel computing is the decomposition of big data and its processing. Geoffrey gives various examples to illustrate how parallel computing can be used in scientific and social contexts. Other than that, different decomposition strategies and basic principles of parallel computing are discussed.","<p>Geoffrey describes the central role of Parallel computing in Clouds and Big Data which is decomposed into lots of ''Little data'' running in individual cores. Many examples are given and it is stressed that issues in parallel computing are seen in day to day life for communication, synchronization, load balancing and decomposition.</p>","XIBD1_ParComp_1v1","1h 37min"
18,U,18,"X-Informatics Cloud Technology Part I: Introduction",Available Now,True,,"<ul><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.gartner.com/technology/home.jsp and many web links' target='_blank'>http://www.gartner.com/technology/home.jsp and many web links</a></li><li><a href='http://setandbma.wordpress.com/2012/08/10/hype-cycle-2012-emerging-technologies/' target='_blank'>http://setandbma.wordpress.com/2012/08/10/hype-cycle-2012-emerging-technologies/</a></li><li><a href='http://slashdot.org/topic/bi/big-data-hype-is-imploding-gartner-analyst' target='_blank'>http://slashdot.org/topic/bi/big-data-hype-is-imploding-gartner-analyst</a></li><li><a href='http://research.microsoft.com/pubs/78813/AJ18_EN.pdf' target='_blank'>http://research.microsoft.com/pubs/78813/AJ18_EN.pdf</a></li><li><a href='http://www.google.com/green/pdfs/google-green-computing.pdf' target='_blank'>http://www.google.com/green/pdfs/google-green-computing.pdf</a></li></ul>","","To start with, cyberinfrastructure for moreorlessanything-informatics is introduced. Then the exploration of cloud computing begins. Geoffrey talks about the idea of virtualization and how it makes things convenient. Based on that, the service model is introduced and different services are explained. Finally, Geoffrey discusses the definition of cloud computing and the future trends of related technology.","<p>Geoffrey discusses Cyberinfrastructure for e-moreorlessanything or moreorlessanything-Informatics and the basics of cloud computing. This includes virtualization and the important ''as a Service'' components and we go through several different definitions of cloud computing.</p><p>Gartner's Technology Landscape includes hype cycle and priority matrix and covers clouds and Big Data. Geoffrey reviews the nature of 48 technologies in 2012 emerging technology hype cycle. Gartner has specific predictions for cloud computing growth areas. The unit concludes with two simple examples of the value of clouds for enterprise applications.</p>","XIBD1_Cloud_1v1","1h 23min"
19,U,19,"X-Informatics Cloud Technology Part II: Introduction",Available Now,True,,"<ul><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus' target='_blank'>http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus</a></li><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://cloudonomic.blogspot.com/2009/02/cloud-taxonomy-and-ontology.html' target='_blank'>http://cloudonomic.blogspot.com/2009/02/cloud-taxonomy-and-ontology.html</a></li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski <a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon' target='_blank'>http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/fs2009/presentations/barga_roger_cloudcomputingplatform.pptx' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/fs2009/presentations/barga_roger_cloudcomputingplatform.pptx</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf</a></li></ul>","","Continue the topic of cloud computing, its definition is discussed in more detail. Because cloud computing are used in different ways and its definition varies according to use cases, Geoffrey introduces different views of what cloud computing is. Then the notion of ''Cloud as a service'' is discussed with an explanation of the platform model. Finally, he goes to different aspects of the data in the cloud.","<p>Geoffrey covers different views as to nature of Cloud Computing. This IaaS (Infrastructure as a Service) discussion is followed by PaaS and SaaS (Platform and Software as a Service). The unit discusses features introduced in Grid computing and features introduced by clouds. The unit concludes with the treatment of data in the cloud from an architecture perspective.</p>","XIBD1_Cloud_2v1","29min"
20,U,20,"X-Informatics Cloud Technology Part III: Introduction",Available Now,True,,"<ul><li><a href='http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing' target='_blank'>http://www.slideshare.net/woorung/trend-and-future-of-cloud-computing</a></li><li><a href='http://www.eweek.com/c/a/Cloud-Computing/AWS-Innovation-Means-Cloud-Domination-307831/' target='_blank'>http://www.eweek.com/c/a/Cloud-Computing/AWS-Innovation-Means-Cloud-Domination-307831/</a></li><li>CSTI General Assembly 2012, Washington, D.C., USA Technical Activities Coordinating Committee (TACC) Meeting, Data Management, Cloud Computing and the Long Tail of Science October 2012 Dennis Gannon</li><li>Dan Reed Roger Barga Dennis Gannon Rich Wolski <a href='http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf' target='_blank'>http://research.microsoft.com/en-us/people/barga/sc09_cloudcomp_tutorial.pdf</a></li><li><a href='http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf' target='_blank'>http://research.microsoft.com/en-us/um/redmond/events/cloudfutures2012/tuesday/Keynote_OpportunitiesAndChallenges_Yousef_Khalidi.pdf</a></li><li><a href='http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/' target='_blank'>http://www.datacenterknowledge.com/archives/2011/05/10/uptime-institute-the-average-pue-is-1-8/</a></li><li><a href='http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/' target='_blank'>http://loosebolts.wordpress.com/2008/12/02/our-vision-for-generation-4-modular-data-centers-one-way-of-getting-it-just-right/</a></li><li><a href='http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf' target='_blank'>http://www.mediafire.com/file/zzqna34282frr2f/koomeydatacenterelectuse2011finalversion.pdf</a></li><li><a href='http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis' target='_blank'>http://www.slideshare.net/JensNimis/cloud-computing-tutorial-jens-nimis</a></li><li><a href='http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus' target='_blank'>http://www.slideshare.net/botchagalupe/introduction-to-clouds-cloud-camp-columbus</a></li><li><a href='http://www.venus-c.eu/Pages/Home.aspx' target='_blank'>http://www.venus-c.eu/Pages/Home.aspx</a></li><li>Geoffrey Fox and Dennis Gannon Using Clouds for Technical Computing To be published in Proceedings of HPC 2012 Conference at Cetraro, Italy June 28 2012 <a href='http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Clouds_Technical_Computing_FoxGannonv2.pdf</a></li><li><a href='http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf' target='_blank'>http://berkeleydatascience.files.wordpress.com/2012/01/20120119berkeley.pdf</a></li><li>Taming The Big Data Tidal Wave: Finding Opportunities in Huge Data Streams with Advanced Analytics, Bill Franks Wiley ISBN: 978-1-118-20878-6</li><li>Anjul Bhambhri, VP of Big Data, IBM <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/index.html</a></li><li><a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Conquering Big Data with the Oracle Information Model, Helen Sun, Oracle <a href='http://cs.metrostate.edu/~sbd/slides/Sun.pdf' target='_blank'>http://cs.metrostate.edu/~sbd/slides/Sun.pdf</a></li><li>Hugh Williams VP Experience, Search & Platforms, eBay <a href='http://fisheritcenter.haas.berkeley.edu/Big_Data/Williams.pdf' target='_blank'>http://fisheritcenter.haas.berkeley.edu/Big_Data/Williams.pdf</a></li></ul>","","Cloud is changing and growing rapidly. This unit starts with the architecture of the cloud. Windows Azure, as an example, is used to illustrate the scale of data centers.Cloud applications are introduced in terms of their usage and types. Later, Geoffrey talks about the topic of security. He comments on fault tolerance and synchronicity constraints of cloud which are very important for the reliability of cloud.Finally, the processing of big data is discussed in detail including platforms and frameworks.","<p>Geoffrey opens up with a discussion of Cloud (Data Center) Architectures with physical setup, Green Computing issues and software models. A discussion of Cloud Industry stakeholders is followed by applications on the cloud including data intensive problems and comparison with high performance computing. Remarks on Security, Fault Tolerance and Synchronicity issues in cloud follow. The Big Data Processing from an application perspective with commercial examples including eBay concludes unit.</p>","XIBD1_Cloud_3v1","50min"
21,U,21,X-Informatics Web Search and Text Mining I,Available Now,True,,"<ul><li><a href='http://saedsayad.com/data_mining_map.htm' target='_blank'>http://saedsayad.com/data_mining_map.htm</a></li><li><a href='http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html' target='_blank'>http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html</a></li><li>The Web Graph: an Overview Jean-Loup Guillaume and Matthieu Latapy <a href='http://hal.archives-ouvertes.fr/docs/00/05/44/58/PDF/webgraph.pdf' target='_blank'>http://hal.archives-ouvertes.fr/docs/00/05/44/58/PDF/webgraph.pdf</a></li><li>Constructing a reliable Web graph with information on browsing behavior, Yiqun Liu, Yufei Xue, Danqing Xu, Rongwei Cen, Min Zhang, Shaoping Ma, Liyun Ru <a href='http://www.sciencedirect.com/science/article/pii/S0167923612001844' target='_blank'>http://www.sciencedirect.com/science/article/pii/S0167923612001844</a></li><li><a href='http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws' target='_blank'>http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws</a></li></ul>",,"This unit mainly talks about theories in this field. Starts with a survey of data mining. Then Geoffrey talks about the problem this technology tries to solve. To explains the solution, he goes back to the history of web search and the evolution of search engine. Build on that, he discusses and compares different information retrieval technology such as the bag of words model, the boolean model, fuzzy index, vector space model and probabilistic model.","<p>Geoffrey starts this unit with an overview of data mining and noting our study of classification, clustering and exploration methods. We examine the problem to be solved in web and text search and note the relevance of history with libraries, catalogs and concordances. An overview of web search is given describing the continued evolution of search engines and the relation to the field of Information Retrieval.</p><p>The importance of recall, precision and diversity is discussed. The important Bag of Words model is introduced and both Boolean queries and the more general fuzzy indices. The important vector space model and revisiting the Cosinne Similarity as a distance in this bag follows. The basic TF-IDF approach is discussed. Relevance is discussed with a probabilistic model while the distinction between Bayesian and frequency views of probability distribution completes this unit.</p>","XIBD1_WebIR_1v1","57min"
22,U,22,X-Informatics Web Search and Text Mining II,Available Now,True,,<ul><li><a href='http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws' target='_blank'>http://www.ifis.cs.tu-bs.de/teaching/ss-11/irws</a></li><li><a href='http://en.wikipedia.org/wiki/PageRank' target='_blank'>http://en.wikipedia.org/wiki/PageRank</a></li><li><a href='http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html' target='_blank'>http://webcourse.cs.technion.ac.il/236621/Winter2011-2012/en/ho_Lectures.html</a></li><li>Meeker/Wu May 29 2013 Internet Trends D11 Conference <a href='http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013' target='_blank'>http://www.slideshare.net/kleinerperkins/kpcb-internet-trends-2013</a></li></ul>,,"In this unit Geoffrey keep continuing the introduction of web search and text mining with more practice focused. He first gives a brief summary of what web data analytics is.Then he begins to talk about it in detail. Start with document preparation, and then inverted index and index construction. To illustrate how web search does its work, he discusses query structure and processing. PageRank, as one example of link structure analysis is introduced. And finally, he gives a summary including web crawling, clustering models.","<p>Geoffrey starts with an overview of the different steps (data analytics) in web search and then goes key steps in detail starting with document preparation. An inverted index is described and then how it is prepared for web search. The Boolean and Vector Space approach to query processing follow.</p><p>This is followed by Link Structure Analysis including Hubs, Authorities and PageRank. The application of PageRank ideas as reputation outside web search is covered. The web graph structure, crawling it and issues in web advertising and search follow. The use of clustering and topic models completes unit.</p>","XIBD1_WebIR_2v1","52min"
23,U,23,"Technology for X-Informatics: PageRank (Python Track)",Available Now,True,Python,"","<ul><li><a href="/assets/files/unit_19/pagerank1.py" target="_blank">pagerank1.py</a></li><li><a href="/assets/files/unit_19/pagerank2.py" target="_blank">pagerank2.py</a></li></ul>","","<p>Geoffrey uses Python to Calculate PageRank from Web Linkage Matrix showing several different formulations of the basic matrix equations to finding leading eigenvector. The unit is concluded by a calculation of PageRank for general web pages by extracting the secret from Google.</p>","XIBD1_PageR_1v1","17min"
24,U,24,Technology for X-Informatics: K-means (Python Track),Available Now,True,Python,,<ul><li><a href=/assets/files/unit_16/xmean.py target=_blank>xmean.py</a></li><li><a href=/assets/files/unit_16/sample.csv target=_blank>sample.csv</a></li><li><a href=/assets/files/unit_16/ParallelKmeans.py target=_blank>ParallelKmeans.py</a></li><li><a href=/assets/files/unit_16/KmeansExtra.py target=_blank>KmeansExtra.py</a></li></ul>,,<p>Geoffrey uses the K-means Python code in SciPy package to show real code for clustering. After a simple example we generate 4 clusters of distinct centers and various choice for sizes using Matplotlib tor visualization. We show results can sometimes be incorrect and sometimes make different choices among comparable solutions. We discuss the ''hill'' between different solutions and rationale for running K-means many times and choosing best answer.</p>,"XIBD1_Kmeans_1v1","51min"
25,U,25,"Technology for X-Informatics: MapReduce",Available Now,True,,"","","","<p>Geoffrey's introduction to MapReduce describes the basic architecture and a homely example. The discussion of advanced topics includes extension to Iterative MapReduce from Indiana University called Twister and a generalized Map Collective model. Some measurements of parallel performance are given</p>","XIBD1_MR_1v1","1h 6min"
26,U,26,"Technology for X-Informatics: Kmeans and MapReduce Parallelism (Python Track)",Available Now,True,Python,"","<ul><li><a href='/assets/files/unit_26/ParallelKmeans.py' target="_blank">ParallelKmeans.py</a></li></ul>","","<p>Geoffrey modifies the SciPy K-means code to support a MapReduce execution style and runs it in this short unit. This illustrates the key ideas of mappers and reducers. With appropriate runtime this code would run in parallel but here the ''parallel'' maps run sequentially. Geoffrey stresses that this simple 2 map version can be generalized to scalable parallelism.</p>","XIBD1_KmeansMR_1v1","30min"
27,U,27,"X-Informatics Case Study: Health Informatics",Available Now,True,,"<ul><li><a href='http://www.genome.gov/sequencingcosts/' target='_blank'>http://www.genome.gov/sequencingcosts/</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/Where%20does%20all%20the%20data%20come%20from%20v7.pdf</a></li><li><a href='http://quantifiedself.com/larry-smarr/' target='_blank'>http://quantifiedself.com/larry-smarr/</a></li><li><a href='http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon' target='_blank'>http://www.oerc.ox.ac.uk/downloads/presentations-from-events/microsoftworkshop/gannon</a></li><li><a href='http://www.ieee-icsc.org/ICSC2010/Tony%20Hey%20-%2020100923.pdf' target='_blank'>http://www.ieee-icsc.org/ICSC2010/Tony%20Hey%20-%2020100923.pdf</a></li><li><a href='http://www.ebi.ac.uk/Information/Brochures/' target='_blank'>http://www.ebi.ac.uk/Information/Brochures/</a></li><li><a href='http://www.mckinsey.com/~/media/McKinsey/dotcom/Insights/Health%20care/The%20big-data%20revolution%20in%20US%20health%20care/The%20big-data%20revolution%20in%20US%20health%20care%20Accelerating%20value%20and%20innovation.ashx' target='_blank'>http://www.mckinsey.com/~/media/McKinsey/dotcom/Insights/Health%20care/The%20big-data%20revolution%20in%20US%20health%20care/The%20big-data%20revolution%20in%20US%20health%20care%20Accelerating%20value%20and%20innovation.ashx</a> (register first)</li><li><a href='http://www.mckinsey.com/insights/health_systems_and_services/~/media/mckinsey/dotcom/insights/health%20care/the%20big-data%20revolution%20in%20us%20health%20care/the_big_data_revolution_in_healthcare.ashx' target='_blank'>http://www.mckinsey.com/insights/health_systems_and_services/~/media/mckinsey/dotcom/insights/health%20care/the%20big-data%20revolution%20in%20us%20health%20care/the_big_data_revolution_in_healthcare.ashx</a> (register first)</li><li><a href='https://partner.microsoft.com/download/global/40193764' target='_blank'>https://partner.microsoft.com/download/global/40193764</a></li><li><a href='http://ec.europa.eu/information_society/activities/health/docs/policy/taskforce/redesigning_health-eu-for2020-ehtf-report2012.pdf' target='_blank'>http://ec.europa.eu/information_society/activities/health/docs/policy/taskforce/redesigning_health-eu-for2020-ehtf-report2012.pdf</a></li><li><a href='http://healthinformatics.wikispaces.com/file/view/cloud_computing.ppt' target='_blank'>http://healthinformatics.wikispaces.com/file/view/cloud_computing.ppt</a></li><li><a href='http://www.nextbio.com/b/nextbioCorp.nb' target='_blank'>http://www.nextbio.com/b/nextbioCorp.nb</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/ecmls72i-stanberry.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/ecmls72i-stanberry.pdf</a></li><li><a href='http://www.geatbx.com/docu/fcnindex-01.html' target='_blank'>http://www.geatbx.com/docu/fcnindex-01.html</a></li><li><a href='http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf' target='_blank'>http://grids.ucs.indiana.edu/ptliupages/publications/DACIDR_camera_ready_v0.3.pdf</a></li><li><a href='http://salsahpc.indiana.edu/millionseq/' target='_blank'>http://salsahpc.indiana.edu/millionseq/</a></li><li><a href='http://salsafungiphy.blogspot.com/' target='_blank'>http://salsafungiphy.blogspot.com/</a></li><li>See PlotViz SideMOOC with associated data from there <ul><li>OilFlowData.out.pviz or OilFlowData.out.txt  Oil Flow data from <a href='http://salsahpc.indiana.edu/pviz3/#screenshots' target='_blank'>http://salsahpc.indiana.edu/pviz3/#screenshots</a></li><li>446041_sequences_100K_fixed_collage.pviz 446K Fungi points from MDS <a href='http://salsabiology.blogspot.com/p/introduction.html' target='_blank'>http://salsabiology.blogspot.com/p/introduction.html</a></li><li>100KMetagenomics.pviz 100K Metagenomics data from MDS <a href='http://salsabiology.blogspot.com/p/introduction.html' target='_blank'>http://salsabiology.blogspot.com/p/introduction.html</a></li></ul></li></ul>","","Geoffrey first gives a brief introduction on types of biomedical big data problems. And then he talks about several reports to indicate opportunities for big data in the area of health.Then the idea of introducing cloud computing to solve those problems is discussed. Followed with the information visualization of genomics and proteomics.Finally, different algorithms for high performance reduction are introduced.","<p>Geoffrey starts by discussing general aspects of Big Data and Health including data sizes, different areas including genomics, EBI, radiology and the Quantified Self movement. We survey an April 2013 McKinsey report on the Big Data revolution in US health care; a Microsoft report in this area and a European Union report on how Big Data will allow patient centered care in the future. Some remarks on Cloud computing and Health focus on security and privacy issues. The final topic is Genomics, Proteomics and Information Visualization.</p>","XIBD1_Health_1v1","1h 2min"
